language,speakers
Afrikaans,5
Arabic,10
Armenian,10
Cantonese,1435
Croatian,20
Danish,10
Dutch,40
German,155
Greek,265
Hebrew,20
Hindi,30
Hungarian,25
Italian,85
Japanese,150
Korean,500
Mandarin,2315
Panjabi(Punjabi),45
Persian(Farsi),130
Polish,40
Portuguese,35
Romanian,30
Russian,55
Serbian,25
Serbo-Croatian,15
Shanghainese,15
Spanish,140
Swedish,10
Filipino,125
Taiwanese,110
Thai,20
Turkish,20
Ukrainian,25
Urdu,10
Vietnamese,20
Yiddish,15
