the_geom,median_household_total_income_2015_2015_constant_dollars,rank_going_up,ctcode,number_of_households_2015,median_household_total_income_2005_2015_constant_dollars,cartodb_id,number_of_households_2005,median_household_total_income_2005_2015_constant_dollars_2,percentage_change,province_territory,geographic_code_province_territory,census_metropolitan_area_census_agglomeration
,81280,3321,9330239.01,2015,,297,,,,British Columbia,59,Vancouver (CMA)
,80710,3270,9330102.02,2420,,303,,,,British Columbia,59,Vancouver (CMA)
,80567,3251,9330181.16,2100,,305,,,,British Columbia,59,Vancouver (CMA)
,78976,3136,9250100.03,1825,,322,,,,British Columbia,59,Kamloops (CA)
,78822,3125,9330059.14,4860,,323,,,,British Columbia,59,Vancouver (CMA)
,78702,3112,9330111.04,920,,327,,,,British Columbia,59,Vancouver (CMA)
,77227,2991,9150104.01,570,,349,,,,British Columbia,59,Kelowna (CMA)
,76331,2935,9350156.04,1990,,355,,,,British Columbia,59,Victoria (CMA)
,76224,2930,9250021.02,1385,,357,,,,British Columbia,59,Kamloops (CA)
,76160,2928,9330260.12,2140,,358,,,,British Columbia,59,Vancouver (CMA)
,76087,2924,9350156.06,4045,,360,,,,British Columbia,59,Victoria (CMA)
,75406,2868,9330287.01,3140,,371,,,,British Columbia,59,Vancouver (CMA)
,74333,2782,9350150.05,1725,,386,,,,British Columbia,59,Victoria (CMA)
,72082,2608,9330059.13,2600,,414,,,,British Columbia,59,Vancouver (CMA)
,68787,2315,9300017.02,2615,,459,,,,British Columbia,59,Chilliwack (CA)
,67212,2202,9330239.02,2620,,472,,,,British Columbia,59,Vancouver (CMA)
,66125,2099,9330291.01,3090,,493,,,,British Columbia,59,Vancouver (CMA)
,66005,2088,9300002.02,1395,,497,,,,British Columbia,59,Chilliwack (CA)
,65280,2030,9250100.02,105,,507,,,,British Columbia,59,Kamloops (CA)
,64832,1992,9330189.07,1265,,511,,,,British Columbia,59,Vancouver (CMA)
,61696,1761,9300011.02,1390,,544,,,,British Columbia,59,Chilliwack (CA)
,60848,1695,9380017.02,2780,,554,,,,British Columbia,59,Nanaimo (CA)
,58560,1542,9150012,1570,,570,,,,British Columbia,59,Kelowna (CMA)
,57216,1450,9350156.01,1205,,585,,,,British Columbia,59,Victoria (CMA)
,55168,1318,9330102.01,160,,600,,,,British Columbia,59,Vancouver (CMA)
,53742,1205,9150102.04,3645,,611,,,,British Columbia,59,Kelowna (CMA)
,50987,985,9150018.01,855,,632,,,,British Columbia,59,Kelowna (CMA)
,49408,870,9300020.03,2020,,646,,,,British Columbia,59,Chilliwack (CA)
,49195,855,9350160.06,770,,649,,,,British Columbia,59,Victoria (CMA)
,48141,790,9330069.01,3880,,656,,,,British Columbia,59,Vancouver (CMA)
,48102,787,9350150.04,890,,657,,,,British Columbia,59,Victoria (CMA)
,46720,689,9380019.01,100,,664,,,,British Columbia,59,Nanaimo (CA)
,44709,559,9330189.08,2825,,673,,,,British Columbia,59,Vancouver (CMA)
,,5642,9700009,135,,748,115,,,British Columbia,59,Prince George (CA)
,42816,448,9330500.01,285,,689,,,,British Columbia,59,Vancouver (CMA)
,42240,410,9380017.01,120,,692,,,,British Columbia,59,Nanaimo (CA)
,41600,368,9350160.08,225,,700,,,,British Columbia,59,Victoria (CMA)
,39296,274,9250011,1005,,704,,,,British Columbia,59,Kamloops (CA)
,39104,262,9330069.02,2130,,706,,,,British Columbia,59,Vancouver (CMA)
,36224,175,9350180.03,90,,714,,,,British Columbia,59,Victoria (CMA)
,35968,173,9300011.01,200,,715,,,,British Columbia,59,Chilliwack (CA)
,35456,158,9330403.06,65,,716,,,,British Columbia,59,Vancouver (CMA)
,,5636,9330505.03,30,,725,,,,British Columbia,59,Vancouver (CMA)
,,5635,9330504.14,15,,726,,,,British Columbia,59,Vancouver (CMA)
,,5634,9330280.01,25,,727,,,,British Columbia,59,Vancouver (CMA)
,,5633,9330260.11,75,,728,,,,British Columbia,59,Vancouver (CMA)
,,5632,9330251.02,45,,729,,,,British Columbia,59,Vancouver (CMA)
,,5631,9330181.15,60,,730,,,,British Columbia,59,Vancouver (CMA)
,,5630,9330111.06,35,,731,,,,British Columbia,59,Vancouver (CMA)
,,5619,9250100.01,15,,732,,,,British Columbia,59,Kamloops (CA)
,,5620,9300012.01,60,,733,,,,British Columbia,59,Chilliwack (CA)
,,5621,9300012.03,30,,734,,,,British Columbia,59,Chilliwack (CA)
,,5622,9300012.05,45,,735,,,,British Columbia,59,Chilliwack (CA)
,,5623,9300012.07,75,,736,,,,British Columbia,59,Chilliwack (CA)
,,5624,9300020.01,15,,737,,,,British Columbia,59,Chilliwack (CA)
,,5625,9300026,75,,738,75,,,British Columbia,59,Chilliwack (CA)
,,5626,9300033,75,,739,,,,British Columbia,59,Chilliwack (CA)
,,5627,9320010,30,,740,,,,British Columbia,59,Abbotsford - Mission (CMA)
,,5628,9320013.01,30,,741,,,,British Columbia,59,Abbotsford - Mission (CMA)
,,5629,9320106.03,60,,742,,,,British Columbia,59,Abbotsford - Mission (CMA)
,,5637,9350155.03,40,,743,,,,British Columbia,59,Victoria (CMA)
,,5638,9350156.05,85,,744,,,,British Columbia,59,Victoria (CMA)
,,5639,9350180.05,30,,745,,,,British Columbia,59,Victoria (CMA)
,,5640,9380001.03,80,,746,,,,British Columbia,59,Nanaimo (CA)
,,5641,9700001,135,,747,75,,,British Columbia,59,Prince George (CA)
,,5643,9700012,105,,749,,,,British Columbia,59,Prince George (CA)
,,5644,9700018,90,,750,50,,,British Columbia,59,Prince George (CA)
,,5645,9700103.01,30,,751,,,,British Columbia,59,Prince George (CA)
