the_geom,median_household_total_income_2015_2015_constant_dollars,rank_going_up,ctcode,number_of_households_2015,median_household_total_income_2005_2015_constant_dollars,cartodb_id,number_of_households_2005,median_household_total_income_2005_2015_constant_dollars_2,percentage_change,province_territory,geographic_code_province_territory,census_metropolitan_area_census_agglomeration
,61056,1714,9700010,525,64716,551,530,64716,-5.655479325,British Columbia,59,Prince George (CA)
,60946,1706,9330056.02,2295,47133,552,2310,47133,29.30643074,British Columbia,59,Vancouver (CMA)
,60907,1700,9330290.02,4265,51244,553,2830,51244,18.85684178,British Columbia,59,Vancouver (CMA)
,60749,1686,9150010.03,1435,50112,555,1405,50112,21.22645275,British Columbia,59,Kelowna (CMA)
,60595,1674,9330185.05,1765,57075,556,1690,57075,6.167323697,British Columbia,59,Vancouver (CMA)
,60544,1673,9330009,3200,57972,557,3220,57972,4.436624577,British Columbia,59,Vancouver (CMA)
,60463,1664,9330235.04,3000,48887,558,2565,48887,23.67909669,British Columbia,59,Vancouver (CMA)
,60331,1653,9150010.02,1875,49078,559,1575,49078,22.9288072,British Columbia,59,Kelowna (CMA)
,60032,1635,9330185.21,1270,60279,560,1145,60279,-0.409761277,British Columbia,59,Vancouver (CMA)
,59975,1624,9330040.02,2955,52240,561,2785,52240,14.80666156,British Columbia,59,Vancouver (CMA)
,59959,1623,9330016.01,1770,49226,562,1680,49226,21.80351847,British Columbia,59,Vancouver (CMA)
,59776,1607,9330103,3660,53297,563,3305,53297,12.15640655,British Columbia,59,Vancouver (CMA)
,59536,1599,9330184.02,2985,58834,564,2745,58834,1.193187613,British Columbia,59,Vancouver (CMA)
,59200,1581,9300025,1515,54365,565,1435,54365,8.893589626,British Columbia,59,Chilliwack (CA)
,59026,1570,9330004.01,1930,66647,566,1380,66647,-11.43487329,British Columbia,59,Vancouver (CMA)
,58832,1560,9330050.03,3680,41359,567,2840,41359,42.24715298,British Columbia,59,Vancouver (CMA)
,58829,1559,9330147.01,4095,51620,568,2305,51620,13.96551724,British Columbia,59,Vancouver (CMA)
,58688,1553,9330190.03,2475,51482,569,1610,51482,13.99712521,British Columbia,59,Vancouver (CMA)
,58453,1537,9330284.01,2870,54843,571,2655,54843,6.582426198,British Columbia,59,Vancouver (CMA)
,58432,1536,9350002,2175,52224,572,2050,52224,11.8872549,British Columbia,59,Victoria (CMA)
,58423,1534,9330062,2355,52974,573,2250,52974,10.28617813,British Columbia,59,Vancouver (CMA)
,58368,1530,9330190.05,645,52336,574,560,52336,11.52552736,British Columbia,59,Vancouver (CMA)
